Title,Release year,IMDB Rating,Votes,Genre,Certificate,Runtime,Director,Main Cast,Budget,Gross Revenue
The Shawshank Redemption,1994.0,9.3,3098341,Drama,A,2H22M,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",25000000,29334033
The Godfather,1972.0,9.2,2159397,"Crime, Drama",A,2H55M,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",6000000,250342198
The Dark Knight,2008.0,9.1,3073328,"Action, Crime, Drama",UA,2H32M,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",185000000,1009242873
The Godfather Part II,1974.0,9.0,1451377,"Crime, Drama",A,3H22M,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall",13000000,48005720
12 Angry Men,1957.0,9.0,948037,"Crime, Drama",U,1H36M,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam",350000,0
The Lord of the Rings: The Return of the King,2004.0,9.0,2106796,"Adventure, Drama, Fantasy",U,3H21M,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen",94000000,1139427855
Schindler&apos;s List,1993.0,9.0,1545336,"Biography, Drama, History",A,3H15M,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley",22000000,322161245
The Lord of the Rings: The Fellowship of the Ring,2002.0,8.9,2140449,"Adventure, Drama, Fantasy",U,2H58M,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom",93000000,889469407
Pulp Fiction,1994.0,8.8,2368981,"Crime, Drama",A,2H34M,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson",8000000,213928762
"Il buono, il brutto, il cattivo",1969.0,8.8,867811,"Adventure, Drama, Western",A,2H41M,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef",1200000,0
Forrest Gump,2014.0,8.8,2419475,"Drama, Romance",UA,2H22M,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise",55000000,678226465
The Lord of the Rings: The Two Towers,2003.0,8.8,1900583,"Adventure, Drama, Fantasy",UA,2H59M,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",94000000,938828326
Fight Club,1999.0,8.8,2514560,"Crime, Drama, Thriller",A,2H19M,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",63000000,101321009
Inception,2010.0,8.8,2730115,"Action, Adventure, Sci-Fi",UA,2H28M,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",160000000,839786473
Star Wars: Episode V - The Empire Strikes Back,1980.0,8.7,1464991,"Action, Adventure, Fantasy",UA,2H4M,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",18000000,550016086
The Matrix,1999.0,8.7,2186818,"Action, Sci-Fi",A,2H16M,Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",63000000,467845851
GoodFellas,2019.0,8.7,1348643,"Biography, Crime, Drama",A,2H25M,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",25000000,47072327
Interstellar,2014.0,8.7,2405094,"Adventure, Drama, Sci-Fi",UA,2H49M,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",165000000,759023926
One Flew Over the Cuckoo&apos;s Nest,1977.0,8.7,1131129,Drama,A,2H13M,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman",3000000,0
Se7en,1995.0,8.6,1949085,"Crime, Drama, Mystery",A,2H7M,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey",33000000,328983304
It&apos;s a Wonderful Life,1947.0,8.6,534250,"Drama, Family, Fantasy",PG,2H10M,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore",3180000,10635987
The Silence of the Lambs,1991.0,8.6,1662352,"Crime, Drama, Horror",A,1H58M,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn",19000000,272742922
Shichinin no samurai,1954.0,8.6,390498,"Action, Drama",U,3H27M,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",0,1092319
Saving Private Ryan,1999.0,8.6,1592532,"Drama, War",A,2H49M,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore",70000000,482352390
The Green Mile,2000.0,8.6,1511186,"Crime, Drama, Fantasy",UA,3H9M,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse",60000000,286801374
Cidade de Deus,2007.0,8.6,848974,"Crime, Drama",A,2H10M,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele",0,30681033
La vita è bella,2000.0,8.6,789844,"Comedy, Drama, Romance",U,1H56M,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",0,230099013
Terminator 2: Judgment Day,1991.0,8.6,1250622,"Action, Adventure, Sci-Fi",A,2H17M,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",102000000,517778573
Star Wars,1978.0,8.6,1531547,"Action, Adventure, Fantasy",U,2H1M,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",11000000,775398507
Back to the Future,1986.0,8.5,1401753,"Adventure, Comedy, Sci-Fi",U,1H56M,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson",19000000,385053307
Sen to Chihiro no kamikakushi,2020.0,8.6,930167,"Animation, Adventure, Family",U,2H4M,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino",19000000,360049922
The Pianist,2019.0,8.5,983312,"Biography, Drama, Music",13,2H30M,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay",35000000,120098945
Gladiator,2000.0,8.5,1793119,"Action, Adventure, Drama",UA,2H35M,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",103000000,465516248
