Title,Release year,IMDB Rating,Votes,Genre,Certificate,Runtime (min),Director,Main Cast,Budget,Gross Revenue,Profit
The Shawshank Redemption,1994,9.3,3098341,Drama,A,142,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",25000000,29334033,4334033
The Godfather,1972,9.2,2159397,"Crime, Drama",A,175,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",6000000,250342198,244342198
The Dark Knight,2008,9.1,3073328,"Action, Crime, Drama",UA,152,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",185000000,1009242873,824242873
The Godfather Part II,1974,9,1451377,"Crime, Drama",A,202,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall",13000000,48005720,35005720
12 Angry Men,1957,9,948037,"Crime, Drama",U,96,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam",350000,,
The Lord of the Rings: The Return of the King,2004,9,2106796,"Adventure, Drama, Fantasy",U,201,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen",94000000,1139427855,1045427855
Schindler&apos;s List,1993,9,1545336,"Biography, Drama, History",A,195,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley",22000000,322161245,300161245
The Lord of the Rings: The Fellowship of the Ring,2002,8.9,2140449,"Adventure, Drama, Fantasy",U,178,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom",93000000,889469407,796469407
Pulp Fiction,1994,8.8,2368981,"Crime, Drama",A,154,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson",8000000,213928762,205928762
"Il buono, il brutto, il cattivo",1969,8.8,867811,"Adventure, Drama, Western",A,161,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef",1200000,,
Forrest Gump,2014,8.8,2419475,"Drama, Romance",UA,142,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise",55000000,678226465,623226465
The Lord of the Rings: The Two Towers,2003,8.8,1900583,"Adventure, Drama, Fantasy",UA,179,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",94000000,938828326,844828326
Fight Club,1999,8.8,2514560,"Crime, Drama, Thriller",A,139,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",63000000,101321009,38321009
Inception,2010,8.8,2730115,"Action, Adventure, Sci-Fi",UA,148,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",160000000,839786473,679786473
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1464991,"Action, Adventure, Fantasy",UA,124,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",18000000,550016086,532016086
The Matrix,1999,8.7,2186818,"Action, Sci-Fi",A,136,Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",63000000,467845851,404845851
GoodFellas,2019,8.7,1348643,"Biography, Crime, Drama",A,145,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",25000000,47072327,22072327
Interstellar,2014,8.7,2405094,"Adventure, Drama, Sci-Fi",UA,169,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",165000000,759023926,594023926
One Flew Over the Cuckoo&apos;s Nest,1977,8.7,1131129,Drama,A,133,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman",3000000,,
Se7en,1995,8.6,1949085,"Crime, Drama, Mystery",A,127,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey",33000000,328983304,295983304
It&apos;s a Wonderful Life,1947,8.6,534250,"Drama, Family, Fantasy",PG,130,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore",3180000,10635987,7455987
The Silence of the Lambs,1991,8.6,1662352,"Crime, Drama, Horror",A,118,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn",19000000,272742922,253742922
Shichinin no samurai,1954,8.6,390498,"Action, Drama",U,207,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",,1092319,
Saving Private Ryan,1999,8.6,1592532,"Drama, War",A,169,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore",70000000,482352390,412352390
The Green Mile,2000,8.6,1511186,"Crime, Drama, Fantasy",UA,189,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse",60000000,286801374,226801374
Cidade de Deus,2007,8.6,848974,"Crime, Drama",A,130,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele",,30681033,
La vita è bella,2000,8.6,789844,"Comedy, Drama, Romance",U,116,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",,230099013,
Terminator 2: Judgment Day,1991,8.6,1250622,"Action, Adventure, Sci-Fi",A,137,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",102000000,517778573,415778573
Star Wars,1978,8.6,1531547,"Action, Adventure, Fantasy",U,121,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",11000000,775398507,764398507
Back to the Future,1986,8.5,1401753,"Adventure, Comedy, Sci-Fi",U,116,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson",19000000,385053307,366053307
Sen to Chihiro no kamikakushi,2020,8.6,930167,"Animation, Adventure, Family",U,124,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino",19000000,360049922,341049922
The Pianist,2019,8.5,983312,"Biography, Drama, Music",13,150,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay",35000000,120098945,85098945
Gladiator,2000,8.5,1793119,"Action, Adventure, Drama",UA,155,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",103000000,465516248,362516248
Gisaengchung,2020,8.5,1099545,"Drama, Thriller",UA,132,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",11400000,262546278,251146278
Psycho,2020,8.5,763058,"Drama, Horror, Mystery",A,109,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles",806947,,
The Lion King,1994,8.5,1222234,"Animation, Adventure, Drama",U,88,Roger Allers,"Matthew Broderick, Jeremy Irons, James Earl Jones",45000000,979161373,934161373
